Name,PPG,PeaksLoc,OnsetLoc,Fs
synthetic_ppg_125Hz_1m_80_10_10_0,0.464199903892361,83,62,125
,0.45218644882268,189,167,
,0.440172993753004,293,272,
,0.428159538683323,397,376,
,0.417107160019222,499,477,
,0.405574243152328,601,580,
,0.392599711677077,708,686,
,0.378183565593464,812,791,
,0.362325804901489,916,895,
,0.345506967803938,1018,996,
,0.328207592503606,1120,1099,
,0.309947140797693,1227,1205,
,0.292167227294568,1331,1310,
,0.274387313791448,1435,1414,
,0.25708793849111,1537,1515,
,0.240269101393559,1639,1618,
,0.226814031715521,1746,1724,
,0.215761653051415,1850,1829,
,0.203267659778952,1954,1933,
,0.191254204709276,2056,2034,
,0.179721287842382,2157,2137,
,0.169149447381068,2219,2203,
,0.15857760691975,2282,2262,
,0.148005766458431,2341,2323,
,0.137433925997117,2401,2383,
,0.127823161941374,2462,2445,
,0.118692936088417,2523,2505,
,0.109562710235461,2583,2566,
,0.100913022585297,2646,2627,
,0.0941854877462779,2705,2686,
,0.0888995675156162,2768,2750,
,0.0816914944738096,2874,2852,
,0.074483421432003,2978,2957,
,0.0682364247957713,3082,3061,
,0.0629505045651144,3184,3162,
,0.0586256607400276,3286,3265,
,0.0547813551177331,3393,3371,
,0.051417587698221,3497,3476,
,0.0480538202787139,3601,3580,
,0.0442095146564144,3703,3681,
,0.0408457472369073,3805,3784,
,0.0389235944257575,3912,3890,
,0.0379625180201826,4016,3995,
,0.0365209034118204,4120,4099,
,0.0350792888034581,4222,4200,
,0.0341182123978833,4324,4303,
,0.0326765977895258,4431,4409,
,0.0317155213839509,4535,4514,
,0.0302739067755887,4639,4618,
,0.0283517539644389,4741,4719,
,0.0269101393560767,4843,4822,
,0.0254685247477192,4950,4928,
,0.0240269101393569,5054,5033,
,0.0230658337337821,5158,5137,
,0.0235463719365696,5260,5238,
,0.0249879865449318,5362,5341,
,0.0259490629505067,5469,5447,
,0.0254685247477192,5573,5552,
,0.0235463719365696,5677,5656,
,0.0211436809226323,5779,5757,
,0.0192215281114826,5879,5860,
,0.0182604517059127,5965,5945,
,0.0201826045170574,6057,6039,
,0.0288322921672264,6114,6099,
,0.0475732820759265,6172,6154,
,0.0807304180682347,6272,6253,
,0.121095627102355,6354,6336,
,0.171552138395001,6441,6418,
,0.240749639596347,6545,6523,
,0.323402210475731,6649,6628,
,0.413262854396922,6753,6732,
,0.504084574723688,6855,6833,
,0.590581451225372,6955,6936,
,0.668428640076887,7041,7021,
,0.735223450264296,7133,7115,
,0.790004805382029,7190,7175,
,0.832292167227294,7248,7230,
,0.864488226814032,7348,7329,
,0.888034598750602,7430,7412,
,0.901970206631427,,7494,
,0.909658817876021,,,
,0.914944738106678,,,
,0.916866890917828,,,
,0.914944738106678,,,
,0.908697741470447,,,
,0.898125901009128,,,
,0.883229216722727,,,
,0.864007688611245,,,
,0.840461316674675,,,
,0.813551177318594,,,
,0.783757808745793,,,
,0.754444978375779,,,
,0.725612686208552,,,
,0.694377703027389,,,
,0.663623258049013,,,
,0.634310427678999,,,
,0.606919750120135,,,
,0.582412301777991,,,
,0.561268620855358,,,
,0.543488707352233,,,
,0.528592023065833,,,
,0.515617491590582,,,
,0.504565112926476,,,
,0.494473810667949,,,
,0.485343584814993,,,
,0.476693897164824,,,
,0.467563671311868,,,
,0.457952907256124,,,
,0.446900528592023,,,
,0.434887073522342,,,
,0.422393080249879,,,
,0.40893801057184,,,
,0.395002402691015,,,
,0.381066794810189,,,
,0.367131186929358,,,
,0.353195579048533,,,
,0.339740509370494,,,
,0.327727054300818,,,
,0.314271984622775,,,
,0.300336376741949,,,
,0.286400768861124,,,
,0.272465160980298,,,
,0.258529553099472,,,
,0.245074483421434,,,
,0.232099951946178,,,
